320.00000 55.00000
303.52344 57.93457
292.84967 61.49300
281.39438 65.80280
268.90366 72.05505
256.38794 77.00000
244.49641 84.06474
233.33130 90.66870
222.61653 94.25564
215.51201 109.38400
229.25568 117.28480
242.94841 125.33549
245.39108 126.88523
258.61459 131.89037
270.90945 137.70825
285.27887 141.27885
279.96619 139.09459
297.60379 145.00000
326.14572 151.77081
323.38107 151.00000
321.19864 149.71405
355.13876 155.77478
348.64011 155.71785
375.47403 158.00000
384.56183 158.07809
386.98422 159.00000
407.49280 159.00000
410.86490 161.75674
400.63885 167.97966
386.09250 179.55855
383.82800 181.07724
373.01981 190.98019
365.35910 198.64090
355.83844 207.30348
351.85806 210.14194
341.11472 220.26234
327.31326 238.91565
325.00000 243.93042
321.74792 252.25208
319.00000 267.71875
319.00000 284.19574
321.11011 296.33032
327.57721 306.43524
333.83835 312.85855
343.33514 320.33514
356.10312 323.00000
374.58014 323.00000
377.05713 323.00000
391.53412 323.00000
402.01111 323.00000
416.48337 322.77151
424.85638 321.28592
436.54703 320.72650
456.86475 310.13525
463.58160 306.41840
471.12885 296.96918
472.35309 284.64691
474.00000 276.88263
476.51257 256.94968
478.00000 249.12712
478.00000 232.39587
478.00000 219.91888
482.18088 204.18349
491.78625 193.21375
506.71948 187.51221
514.50018 182.33322
529.12585 172.58583
534.71558 166.28442
541.77808 153.49930
545.90100 145.55632
548.00000 135.66400
548.00000 116.14100
543.31451 104.15478
539.05743 97.05740
533.22144 87.29526
525.42639 77.90189
515.06140 66.06142
504.40268 57.40266
496.77621 53.63287
483.48981 48.94331
468.93494 48.00000
451.00162 47.00161
438.86014 43.00000
425.52460 40.86417
407.88516 39.00000
392.65369 36.00000
372.36536 39.75643
355.25299 49.00000
330.66013 53.14606
342.00000 51.00000
